"appeal_id"	"datetime"	"client_id"	"user_id"	"msg_type"	"channel_id"	"channel_name"	"channel_type"	"answer_time"	"text"
113692	"2088-04-02 17:43:40+03"	442162		0	3	"Telegram"	"Telegram"		"/start"
113692	"2088-04-02 17:43:40+03"			1	0	""	""		"Создано новое обращение #113692"
113692	"2088-04-02 17:43:50+03"		19488	0	3	"Telegram"	"Telegram"	10	"Приветствую Вас! Чем могу помочь?"
113692	"2088-04-02 17:44:14+03"	442162		0	3	"Telegram"	"Telegram"		"При по пытки перейти на другой тариф выдаёт ошибку."
113692	"2088-04-02 17:44:25+03"		19488	0	3	"Telegram"	"Telegram"	11	"На каком номере?"
113692	"2088-04-02 17:44:44+03"	442162		0	3	"Telegram"	"Telegram"		""
113692	"2088-04-02 17:44:55+03"	442162		0	3	"Telegram"	"Telegram"		"xxx xxx xx xx"
113692	"2088-04-02 17:45:02+03"		19488	0	3	"Telegram"	"Telegram"	17	"Минуту."
113692	"2088-04-02 17:48:25+03"		19488	0	3	"Telegram"	"Telegram"		"Стоимость 3G модема - 1299 руб. (1298 руб. модем + 1 руб. на балансе SIM)."
113692	"2088-04-02 17:48:37+03"		19488	0	3	"Telegram"	"Telegram"		"Стартовый тариф - &quot;Интернет для устройств&quot; + &quot;Скидка на интернет 15 Гб&quot; . В течение 1 месяца с момента подключения услуга в рамках комплекта предоставляется без АП, начиная со второго месяца начисляется стандартная сумма АП по услуге - 330 руб./мес."
113692	"2088-04-02 17:48:48+03"		19488	0	3	"Telegram"	"Telegram"		"При подключении нужен паспорт."
113692	"2088-04-02 17:48:53+03"		19488	0	3	"Telegram"	"Telegram"		"Возможно, у Вас остались ещё вопросы?"
113692	"2088-04-02 17:49:04+03"		19488	0	3	"Telegram"	"Telegram"		"Прошу прощение."
113692	"2088-04-02 17:49:19+03"		19488	0	3	"Telegram"	"Telegram"		"Информация по Вашему вопросу загружается)"
113692	"2088-04-02 17:49:34+03"	442162		0	3	"Telegram"	"Telegram"		"Ждём."
113692	"2088-04-02 17:49:45+03"		19488	0	3	"Telegram"	"Telegram"	11	"<img data-code=\"\"<U+0001F60A>\"\" src=\"\"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7\"\" draggable=\"\"false\"\" class=\"\"emoji code1163\"\">"
113692	"2088-04-02 17:50:07+03"	442162		0	3	"Telegram"	"Telegram"		"А пока можете рассказать анекдот"
113692	"2088-04-02 17:50:37+03"		19488	0	3	"Telegram"	"Telegram"	29	"В этом случае уточнение информации займет более длительное время."
113692	"2088-04-02 17:51:42+03"	442162		0	3	"Telegram"	"Telegram"		"Готовы подождать."
113692	"2088-04-02 17:51:49+03"		19488	0	3	"Telegram"	"Telegram"	6	"<img data-code=\"\"<U+0001F60A>\"\" src=\"\"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7\"\" draggable=\"\"false\"\" class=\"\"emoji code1163\"\">"
113692	"2088-04-02 17:54:42+03"		19488	0	3	"Telegram"	"Telegram"		"Подскажите, а на какой тариф пробуете перейти?"
113692	"2088-04-02 17:56:28+03"	442162		0	3	"Telegram"	"Telegram"		"«Мой разговор» 2 Гб, 250 мин и 1 опция безлимитный вконтакте 260<U+20BD>/месяц."
113692	"2088-04-02 17:56:55+03"		19488	0	3	"Telegram"	"Telegram"	26	"Вы через браузер меняете?"
113692	"2088-04-02 17:57:53+03"	442162		0	3	"Telegram"	"Telegram"		"Первый раз через приложение после не удачной попытки попробовали через браузер на компьютере."
113692	"2088-04-02 17:58:10+03"		19488	0	3	"Telegram"	"Telegram"	16	"Спасибо."
113692	"2088-04-02 18:04:01+03"		19488	9	0	""	""		"Упс…. По независящим от нас причинам сессия была прервана.( Если Ваш вопрос еще актуален,  дайте нам знать, отправив любой символ или слово в ответ на данное сообщение!  "
113692	"2088-04-02 18:04:45+03"	442162		0	3	"Telegram"	"Telegram"		"Увы"
